feature_name,feature_type,correlation_with_target
eval_number_E_1563,bool,
eval_number_E_1564,bool,
eval_number_E_1568,bool,
eval_number_E_1569,bool,
eval_number_E_1572,bool,
eval_number_E_1573,bool,
eval_number_E_1574,bool,
eval_number_E_1576,bool,
eval_number_E_1577,bool,
eval_number_E_1578,bool,
eval_number_E_158,bool,
eval_number_E_1580,bool,
eval_number_E_1581,bool,
eval_number_E_1582,bool,
eval_number_E_1583,bool,
eval_number_E_1585,bool,
eval_number_E_1586,bool,
eval_number_E_1587,bool,
eval_number_E_1588,bool,
eval_number_E_159,bool,
eval_number_E_1590,bool,
eval_number_E_1591,bool,
eval_number_E_1592,bool,
eval_number_E_1594,bool,
eval_number_E_1595,bool,
eval_number_E_1596,bool,
eval_number_E_1597,bool,
eval_number_E_1598,bool,
eval_number_E_1599,bool,
eval_number_E_16,bool,
eval_number_E_160,bool,
eval_number_E_1601,bool,
eval_number_E_1602,bool,
eval_number_E_1604,bool,
eval_number_E_1605,bool,
eval_number_E_1606,bool,
eval_number_E_1607,bool,
eval_number_E_1608,bool,
eval_number_E_1609,bool,
eval_number_E_161,bool,
eval_number_E_1611,bool,
eval_number_E_1612,bool,
eval_number_E_1613,bool,
eval_number_E_1614,bool,
eval_number_E_1615,bool,
eval_number_E_1617,bool,
eval_number_E_1618,bool,
eval_number_E_1619,bool,
eval_number_E_162,bool,
eval_number_E_1621,bool,
eval_number_E_1622,bool,
eval_number_E_1623,bool,
eval_number_E_1624,bool,
eval_number_E_1625,bool,
eval_number_E_1627,bool,
eval_number_E_1628,bool,
eval_number_E_163,bool,
eval_number_E_1630,bool,
eval_number_E_1631,bool,
eval_number_E_1633,bool,
eval_number_E_1635,bool,
eval_number_E_1638,bool,
eval_number_E_1639,bool,
eval_number_E_164,bool,
eval_number_E_1640,bool,
eval_number_E_1641,bool,
eval_number_E_1642,bool,
eval_number_E_1644,bool,
eval_number_E_1645,bool,
eval_number_E_1646,bool,
eval_number_E_1647,bool,
eval_number_E_1648,bool,
eval_number_E_1649,bool,
eval_number_E_165,bool,
eval_number_E_1650,bool,
eval_number_E_1651,bool,
eval_number_E_1653,bool,
eval_number_E_1654,bool,
eval_number_E_1655,bool,
eval_number_E_1656,bool,
eval_number_E_1657,bool,
eval_number_E_1658,bool,
eval_number_E_1659,bool,
eval_number_E_1661,bool,
eval_number_E_1662,bool,
eval_number_E_1664,bool,
eval_number_E_1665,bool,
eval_number_E_1666,bool,
eval_number_E_1667,bool,
eval_number_E_1668,bool,
eval_number_E_1669,bool,
eval_number_E_167,bool,
eval_number_E_1670,bool,
eval_number_E_1671,bool,
eval_number_E_1673,bool,
eval_number_E_1674,bool,
eval_number_E_1675,bool,
